, Universidade Federal de Santa Catarina|Universidade Federal de Santa Catarina|Brazil
, Universidade Federal de Santa Maria|Universidade Federal de Santa Maria|Brazil
, Universidade Federal de São Carlos|Universidade Federal de São Carlos|Brazil
, Universidade Federal de São Paulo|Universidade Federal de São Paulo|Brazil
, Universidade Federal de Viçosa|Universidade Federal de Viçosa|Brazil
, Universidade Federal de Viçosa (UFV)|Universidade Federal de Viçosa|Brazil
, Universidade Federal do Ceará|Universidade Federal do Ceará|Brazil
, Universidade Federal do Espírito Santo|Universidade Federal do Espírito Santo|Brazil
, Universidade Federal do Estado do Rio de Janeiro|Universidade Federal do Estado do Rio de Janeiro|Brazil
, Universidade Federal do Pará|Universidade Federal do Pará|Brazil
, Universidade Federal do Paraná|Universidade Federal do Paraná|Brazil
, Universidade Federal do Recôncavo da Bahia|Universidade Federal do Recôncavo Baiano|Brazil
, Universidade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
, Universidade Federal do Rio de Janeiro (UFRJ)|Universidade Federal do Rio de Janeiro|Brazil
, Universidade Federal do Rio Grande|Fundação Universidade Federal do Rio Grande|Brazil
, Universidade Federal do Rio Grande do Norte|Universidade Federal do Rio Grande do Norte|Brazil
, Universidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
, Universidade Federal Rural de Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
, Universidade Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
, Universidade Presbiteriana Mackenzie|Universidade Presbiteriana Mackenzie|Brazil
, Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Brazil
,Universidade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
,Universidade Federal do Paraná|Universidade Federal do Paraná|Brazil
. Doutora em Linguística pela Universidade Estadual de Campinas - UNICAMP|Universidade Estadual de Campinas|Brazil
. Pontificia Universidad Católica de Chile|Pontificia Universidad Católica de Chile|Chile
. Pontificia Universidad Javeriana|Pontificia Universidad Javeriana|Colombia
.Universidad Nacional de Colombia,|Universidad Nacional de Colombia|Colombia
.Universidade de São Paulo|Universidade de São Paulo|Brazil
.Universidade Federal de Santa Catarina|Universidade Federal de Santa Catarina|Brazil
.Universidade Federal de Santa catarinaHospital Universitario|Instituto Federal de Santa Catarina|Brazil
.Universidade Federal do Ceará|Universidade Federal do Ceará|Brazil
.Universidade Federal do Paraná|Universidade Federal do Paraná|Brazil
/UDESC|Universidade do Estado de Santa Catarina |Brazil
/UFPel|Universidade Federal de Pelotas|Brazil
/UFRPE|Universidade Federal Rural de Pernambuco|Brazil
/Universidade de São Paulo|Universidade de São Paulo|Brazil
/Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
